timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount
20150826T0000,54.752953,81.66295,68.3077,0,0
20150827T0000,60.65695,86.64896,74.528206,0,0
20150828T0000,69.94495,87.67495,78.6562,0,0
20150829T0000,64.68895,89.04295,78.27221,0,0
20150830T0000,71.88895,90.19495,80.97745,0,0
20150831T0000,69.458954,90.23095,79.11521,0,0
20150901T0000,58.766953,78.36895,68.82671,4.5,0
20150902T0000,56.19295,71.00695,62.974445,0.1,0
20150903T0000,54.60895,67.37096,62.04221,0.4,0
20150904T0000,55.454952,69.80095,61.533703,0,0
20150905T0000,52.59295,64.81496,58.434696,0,0
20150906T0000,49.676952,61.844948,55.892944,1,0
20150907T0000,47.138954,65.55295,56.5357,0,0
20150908T0000,47.984955,71.61895,58.911697,0,0
20150909T0000,46.13095,71.49295,58.577194,0,0
20150910T0000,45.98695,69.65695,57.734955,0,0
20150911T0000,48.14695,74.15695,61.419704,0.2,0
20150912T0000,57.056953,81.48295,67.66646,4.2,0
20150913T0000,59.01895,78.40495,67.754196,1.2,0
20150914T0000,55.25695,71.06095,62.480946,10.700001,0
20150915T0000,50.000954,67.08295,59.554443,0,0
20150916T0000,57.74095,80.34895,65.98119,0.6,0
20150917T0000,53.94295,68.73895,60.47845,40,0
20150918T0000,49.83895,67.47895,58.890705,0.7,0
20150919T0000,50.954952,61.34095,56.840206,0.70000005,0
20150920T0000,50.72095,64.50896,56.393948,0,0
20150921T0000,45.95095,68.73895,58.007954,0,0
20150922T0000,52.71895,67.010956,59.206455,1,0
20150923T0000,48.542953,57.794952,53.401455,0.70000005,0
20150924T0000,51.62095,65.69695,57.509945,0.5,0
20150925T0000,48.90295,67.64095,57.975697,0,0
20150926T0000,51.08095,68.846954,58.361206,0,0
20150927T0000,45.24895,66.52495,54.9997,0,0
20150928T0000,38.84095,63.82495,51.487453,0,0
20150929T0000,37.56295,64.20296,52.360455,0,0
20150930T0000,40.91095,64.67095,52.211956,0,0
20151001T0000,39.11095,63.860954,50.4682,0,0
20151002T0000,42.87295,67.010956,54.822704,0,0
20151003T0000,51.404953,68.972946,59.95195,0,0
20151004T0000,51.90895,64.00495,57.475452,3.8000002,0
20151005T0000,50.03695,71.150955,60.344955,4.2,0
20151006T0000,54.662952,74.82295,62.713455,10.2,0
20151007T0000,54.15895,63.50095,58.232956,0,0
20151008T0000,50.63095,62.54695,55.784206,0,0
20151009T0000,48.956955,64.97695,55.928204,0,0
20151010T0000,47.19295,63.71695,53.347458,0,0
20151011T0000,44.31295,62.654953,52.29445,0,0
20151012T0000,40.26295,59.01895,49.968708,0,0
20151013T0000,42.42295,57.25495,49.377705,0,0
20151014T0000,37.58095,49.24495,43.4782,0,0
20151015T0000,37.418953,47.444954,41.623447,6.5,0
20151016T0000,38.98495,51.512955,44.52295,0,0
20151017T0000,39.03895,52.196953,45.10945,0,0
20151018T0000,44.600952,54.446953,48.062954,0.2,0
20151019T0000,39.794952,52.97095,45.9397,0,0
20151020T0000,34.93495,55.454952,44.622707,0,0
20151021T0000,44.52895,55.49095,49.777454,0,0
20151022T0000,44.780952,54.176952,49.6987,0.2,0
20151023T0000,49.154953,61.43095,53.3482,0,0
20151024T0000,42.63895,68.21695,55.649204,0,0
20151025T0000,50.774952,63.986954,58.070953,0.4,0
20151026T0000,46.544952,63.788948,54.541454,0,0
20151027T0000,47.80495,63.626953,54.6817,0,0
20151028T0000,50.864952,67.47895,57.37495,10.3,0
20151029T0000,48.32695,59.864952,53.92644,0.70000005,0
20151030T0000,46.34695,62.564953,52.298203,0,0
20151031T0000,47.570953,62.348953,53.3962,0,0
20151101T0000,43.682953,61.17895,51.62846,0,0
20151102T0000,39.16495,59.306953,49.7872,0,0
20151103T0000,38.19295,58.78495,49.92745,0,0
20151104T0000,48.128952,65.22895,55.3072,0,0
20151105T0000,50.57695,65.13895,55.133953,0,0
20151106T0000,48.290955,68.09096,57.393707,0,0
20151107T0000,56.35495,69.872955,61.982204,0.2,0
20151108T0000,55.74295,70.28695,60.80245,0,0
20151109T0000,53.43895,67.80295,59.514698,0,0
20151110T0000,43.232952,59.954952,53.810207,0,0
20151111T0000,41.01895,58.982952,49.468456,0,0
20151112T0000,46.418953,58.37095,50.87245,0,0
20151113T0000,46.850952,60.06295,52.8922,0,0
20151114T0000,43.34095,53.94295,49.68521,0,0
20151115T0000,46.61695,64.094955,54.3877,0,0
20151116T0000,45.98695,62.45695,52.21645,0,0
20151117T0000,44.81695,61.52095,54.9817,0.1,0
20151118T0000,49.65895,60.94495,55.52621,0.1,0
20151119T0000,51.65695,61.628952,56.68944,0,0
20151120T0000,43.61095,60.42295,56.41045,21.9,0
20151121T0000,34.232952,44.294952,40.2442,8.900001,0
20151122T0000,34.17895,40.22695,36.31195,1.2,0.84000003
20151123T0000,31.730951,39.57895,34.77745,7.5999994,5.32
20151124T0000,30.308952,42.87295,35.868702,0,0
20151125T0000,37.83295,44.94295,41.036945,3.8,0
20151126T0000,37.95895,42.404953,39.76045,0,0
20151127T0000,30.632952,40.35295,35.9707,0,0
20151128T0000,31.244951,42.78295,37.1272,5.4,0
20151129T0000,36.82495,50.21695,44.284454,0,0
20151130T0000,47.48095,53.54695,49.976944,0,0
20151201T0000,44.67295,53.67295,49.54195,0,0
20151202T0000,41.05495,52.862953,46.770702,0,0
20151203T0000,38.80495,50.540955,42.887955,0,0
20151204T0000,40.22695,48.02095,44.016705,0.1,0
20151205T0000,42.99895,49.028954,45.23995,0,0
20151206T0000,43.35895,57.90295,48.932953,0,0
20151207T0000,41.864952,54.53695,47.413452,0,0
